"Entidade";"Número/Ano Obra";"Número/Ano Intervenção";"Nome Empresa";"CPF/CNPJ";"Valor Total";"Descrição";"Data de Cadastro";"Data de Início";"Previsão Conclusão";"Percentual Conclusão (%)";"Situação"
"MUNICÍPIO DE CASCAVEL";"5 / 2022";"5 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"10057.1700";"TP 9-2021 (LOTE 04) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"6 / 2022";"6 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"39925.8400";"TP 9-2021 (LOTE 05) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"7 / 2022";"7 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"27852.8700";"TP 9-2021 (LOTE 06) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"9 / 2022";"9 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"7701.1500";"TP 9-2021 (LOTE 08) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"10 / 2022";"10 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"15308.2300";"TP 9-2021 (LOTE 09) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"11 / 2022";"11 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"22300.8300";"TP 9-2021 (LOTE 10) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"12 / 2022";"12 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"11045.6600";"TP 9-2021 (LOTE 11) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"13 / 2022";"13 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"3980.0000";"TP 9-2021 (LOTE 12) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"15 / 2022";"15 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"28207.2100";"TP 9-2021 (LOTE 14) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"16 / 2022";"16 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"58669.4600";"TP 9-2021 (LOTE 15) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"17 / 2022";"17 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"22331.4400";"TP 9-2021 (LOTE 16) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"20 / 2022";"20 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"13229.5900";"TP 9-2021 (LOTE 19) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"21 / 2022";"21 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"16332.0100";"TP 9-2021 (LOTE 20) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"22 / 2022";"22 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"5900.0000";"TP 9-2021 (LOTE 21) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"18 / 2022";"18 / 2022";"ELETRO CAF COMERCIO DE MATERIAIS ELETRICOS LTDA";"10.906.818/0001-21";"3225.5400";"TP 9-2021 (LOTE 17) - ILUMINAÇÃO PÚBLICA - EXTENSÃO E READEQUAÇÃO DE REDE";"09/03/2022";"09/03/2022";"06/07/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"26 / 2022";"26 / 2022";"SAMAR ILUMINAÇÃOE ENGENHARIA; SAMAR ILUMINAÇÃOE ENGENHARIA";"24.416.572/0001-14; 24.416.572/0001-14";"9988825.6600";"CP 6-2021 - MODERNIZAÇÃO PARCIAL DO PÁTIO DE ILUMINAÇÃO PÚBLICA DO MUNICÍPIO DE CASCAVEL";"06/04/2022";"06/04/2022";"01/11/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"37 / 2022";"37 / 2022";"PAVIMENTACOES E TERRAPLENAGENS SCHMITT LTDA";"03.030.002/0001-11";"2564180.7000";"CP 11-2022 - PAVIMENTAÇÃO URBANA - PAVIMENTAÇÃO DE VIAS URBANAS";"30/06/2022";"30/06/2022";"26/12/2022";"97.26";"Concluída"
"MUNICÍPIO DE CASCAVEL";"33 / 2022";"33 / 2022";"PRADO & PRADO LTDA";"23.153.183/0001-80";"2474929.6800";"CP 8-2022 - PAVIMENTAÇÃO URBANA - PAVIMENTAÇÃO DE VIAS URBANAS";"15/06/2022";"15/06/2022";"11/11/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"31 / 2022";"31 / 2022";"PRADO & PRADO LTDA";"23.153.183/0001-80";"1347438.3900";"CP 7-2022 - PAVIMENTAÇÃO URBANA - DISTRITO DE JUVINÓPOLIS";"09/06/2022";"09/06/2022";"05/12/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"24 / 2022";"24 / 2022";"CONSTRUTORA DANILO BANDEIRA LTDA; CONSTRUTORA DANILO BANDEIRA LTDA";"10.684.046/0001-20; 10.684.046/0001-20";"4413075.9300";"CP 13-2021 - REFORMA E AMPLIAÇÃO DA ESCOLA MUNICIPAL HERMES VEZZARO";"28/03/2022";"28/03/2022";"22/03/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"30 / 2022";"30 / 2022";"ZOTTI CONSTRUTORA E METALURGICA LTDA - EPP; ZOTTI CONSTRUTORA E METALURGICA LTDA - EPP";"11.857.665/0001-32; 11.857.665/0001-32";"824768.8200";"TP 4-2022 - NOVO RECINTO DE AVES NO ZOOLÓGICO DE CASCAVEL";"02/06/2022";"02/06/2022";"29/10/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"4 / 2021";"4 / 2021";"CS ENGENHARIA LTDA";"04.484.402/0001-60";"4174145.6400";"CP 20-2020 - PAVIMENTAÇÃO DE VIAS URBANAS - BAIRRO LAGO AZUL";"10/02/2021";"10/02/2021";"07/10/2021";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"34 / 2022";"34 / 2022";"COIMBRA CONSTRUÇÕES LTDA; COIMBRA CONSTRUÇÕES LTDA";"10.757.388/0001-23; 10.757.388/0001-23";"342399.3300";"TP 2-2022 - REFORMA E AMPLIAÇÃO DO SALÃO COMUNITÁRIO DO BAIRRO SANTA CRUZ";"21/06/2022";"21/06/2022";"18/10/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"29 / 2022";"29 / 2022";"POLIBOX SISTEMAS CONSTRUTIVOS LTDA";"02.807.490/0001-68";"6893623.5800";"CP 3-2022 - CONSTRUÇÃO DA ESCOLA MUNICIPAL ROMILDA LUDWING WIEBBELING";"15/06/2022";"15/06/2022";"11/12/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"38 / 2022";"38 / 2022";"ICONE ENGENHARIA DE OBRAS LTDA; ICONE ENGENHARIA DE OBRAS LTDA; ICONE ENGENHARIA DE OBRAS LTDA";"17.377.336/0001-70; 17.377.336/0001-70; 17.377.336/0001-70";"1452224.9800";"TP 8-2022 - CONSTRUÇÃO DA SEDE DO CENTRO DE CONVIVÊNCIA DO IDOSO";"15/07/2022";"15/07/2022";"10/01/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"40 / 2022";"40 / 2022";"PEDREIRA RIO QUATI LTDA";"82.658.253/0001-11";"2634384.9400";"TP 12-2022 - EXECUÇÃO DE 34.094,89 m² DE RECAPE ASFÁLTICO DO PARQUE DE VELOCIDADE ZILMAR BEU";"08/09/2022";"08/09/2022";"07/10/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"41 / 2022";"41 / 2022";"CONSTRUTORA DINÂMICA LTDA - EPP; CONSTRUTORA DINÂMICA LTDA - EPP";"13.345.161/0001-69; 13.345.161/0001-69";"403571.2500";"TP 9-2022 - REFORMA DA UNIDADE DE  SAÚDE DA FAMÍLIA CANADÁ";"14/09/2022";"14/09/2022";"12/12/2022";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"42 / 2022";"42 / 2022";"PAVIMENTACOES E TERRAPLENAGENS SCHMITT LTDA; PAVIMENTACOES E TERRAPLENAGENS SCHMITT LTDA";"03.030.002/0001-11; 03.030.002/0001-11";"5821747.8100";"CP 18-2022 - PAVIMENTAÇÃO URBANA - PAVIMENTAÇÃO DE VIAS URBANAS";"21/09/2022";"21/09/2022";"18/05/2023";"100";"Concluída"
"ACESC - ADMINISTRADORA DE CEMITERIOS E SERVIÇOS FUNERARIOS DE CASCAVEL";"6 / 2019";"1 / 2019";"CONSTRUTORA DE OBRAS LUNICA LTDA";"15.566.795/0001-77";"324997.3000";"CONSTRUÇÃO DE CAPELA MORTUÁRIA";"17/09/2019";"17/09/2019";"03/01/2020";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"44 / 2022";"44 / 2022";"PAVIMENTACOES E TERRAPLENAGENS SCHMITT LTDA";"03.030.002/0001-11";"10815495.6200";"CP 19-2022 - PAVIMENTAÇÃO DE VIAS RURAIS - ESTRADA VICINAL RIO DA PAZ";"04/10/2022";"04/10/2022";"30/07/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"45 / 2022";"45 / 2022";"ANDERSON SILVA DE MELLO PAVIMENTAÇÕES LTDA";"39.757.960/0001-36";"952625.5100";"TP 11-2022 - PAVIMENTAÇÃO DE VIAS RURAIS - ESTRADA RURAL DO RIO DO SALTO-NOSSA SENHORA DE LOUR";"05/10/2022";"06/10/2022";"03/04/2023";"36.92";"Paralisada/Suspensa"
"MUNICÍPIO DE CASCAVEL";"46 / 2022";"46 / 2022";"PRADO & PRADO LTDA";"23.153.183/0001-80";"7880218.7550";"CP 26-2022 - PAVIMENTAÇÃO DE VIAS RURAIS - ESTRADA RURAL NOVO HORIZONTE E OUTRAS";"20/10/2022";"20/10/2022";"17/05/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"2 / 2023";"2 / 2023";"RH BK ENGENHARIA LTDA; RH BK ENGENHARIA LTDA";"30.358.657/0001-96; 30.358.657/0001-96";"6041502.9400";"CP 28-2022 - CONSTRUÇÃO DO CENTRO DE INOVAÇÃO E TECNOLOGIA";"24/01/2023";"24/01/2023";"20/10/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"15 / 2023";"15 / 2023";"CONSTRUTORA ASTRAL LTDA; CONSTRUTORA ASTRAL LTDA";"11.638.690/0001-25; 11.638.690/0001-25";"717604.9500";"TP 16-2022 - PISTA DE SKATE NO COMPLEXO ESPORTIVO CIRO NARDI";"05/05/2023";"05/05/2023";"01/10/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"43 / 2022";"43 / 2022";"CONSTRUTORA DANILO BANDEIRA LTDA; CONSTRUTORA DANILO BANDEIRA LTDA";"10.684.046/0001-20; 10.684.046/0001-20";"7498913.1600";"CP 22-2022 - CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL GRALHA AZUL (CMEI PROFESSOR PAULO MARQUES)";"30/09/2022";"30/09/2022";"24/09/2023";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"48 / 2022";"48 / 2022";"PRADO & PRADO LTDA; PRADO & PRADO LTDA";"23.153.183/0001-80; 23.153.183/0001-80";"7860421.4700";"CP 27-2022 - PAVIMENTAÇÃO URBANA - PAVIMENTAÇÃO DE VIAS URBANAS";"11/11/2022";"11/11/2022";"07/08/2023";"100";"Concluída"
"ACESC - ADMINISTRADORA DE CEMITERIOS E SERVIÇOS FUNERARIOS DE CASCAVEL";"1 / 2020";"1 / 2020";"M PASTORE HUF - ME; M PASTORE HUF - ME";"29.242.287/0001-48; 29.242.287/0001-48";"244266.1400";"CONSTRUÇÃO DE CAPELA MORTUÁRIA SANTOS DUMONT";"17/08/2020";"14/08/2020";"14/08/2020";"100";"Concluída"
"ACESC - ADMINISTRADORA DE CEMITERIOS E SERVIÇOS FUNERARIOS DE CASCAVEL";"2 / 2020";"2 / 2020";"EDIFIC CONSTRUCOES LTDA.";"11.317.416/0001-54";"178655.2900";"REFORMA NA CAPELA E ESCRITÓRIO CEMITÉRIO JARDIM DA SAUDADE";"24/08/2020";"24/08/2020";"22/10/2020";"100";"Concluída"
"ACESC - ADMINISTRADORA DE CEMITERIOS E SERVIÇOS FUNERARIOS DE CASCAVEL";"3 / 2020";"3 / 2020";"METTAENG CONSTRUTORA OBRAS - EIRELI";"32.595.883/0001-16";"261496.2200";"CONSTRUÇÃO DE CAPELA MORTUÁRIA SEDE ALVORADA";"01/11/2020";"01/11/2020";"28/02/2021";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"3 / 2019";"3 / 2019";"A.S. ASSUNCAO - EDIFICACOES - ME";"22.333.417/0001-09";"54455.0200";"TP 18-2018 - EXECUÇÃO DE REFORMA DE MURO DA ESCOLA MUNICIPAL ATÍLIO DESTRO";"27/02/2019";"27/02/2019";"27/04/2019";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"21 / 2020";"21 / 2020";"CONSTRUTORA KARTAL LTDA; CONSTRUTORA KARTAL LTDA";"13.852.015/0001-20; 13.852.015/0001-20";"4698703.3100";"CP 30-2019 (LOTE 01) - REESTRUTURAÇÃO DE PAVIMENTAÇÃO URBANA";"31/03/2020";"31/03/2020";"26/10/2020";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"22 / 2020";"22 / 2020";"CONSTRUTORA KARTAL LTDA";"13.852.015/0001-20";"5934095.9500";"CP 30-2020 (LOTE 02) - REESTRUTURAÇÃO DE PAVIMENTAÇÃO URBANA";"31/03/2020";"31/03/2020";"25/11/2020";"100";"Concluída"
"MUNICÍPIO DE CASCAVEL";"39 / 2022";"39 / 2022";"PRIMORDIAL CONSTRUÇÃO CIVIL EIRELI";"07.502.275/0001-72";"1529889.3800";"TP 6-2022 - CONSTRUÇÃO DE QUADRA POLIESPORTIVA NO PROGRAMA EURECA II";"15/07/2022";"15/07/2022";"10/01/2023";"100";"Concluída"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE CASCAVEL -IPMC";"1 / 2016";"1 / 2016";"";"";"0";"PROJETO DE REFORMA DO IMÓVEL DO FUNDO PREVIDENCIÁRIO";"01/02/2016";"01/03/2016";"28/07/2016";"0";"Em Andamento"
"INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DO MUNICIPIO DE CASCAVEL -IPMC";"1 / 2017";"1 / 2017";"ADALTA CONSTRUTORA LTDA";"08.727.496/0001-01";"606350.5000";"REFORMA IMÓVEL DO FUNDO PREVIDENCIÁRIO - IPMC";"13/10/2017";"23/10/2017";"23/03/2018";"100";"Concluída"
